date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:18	4109/4109	---M--	200	added ('OK')	image/png	etag:%22100d-5e49fb0669880%22	https://mophy.dexignzone.com/xhtml/images/avatar/24.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/24.png	(from https://mophy.dexignzone.com/xhtml/invoices.html)
20:27:18	82567/82567	---M--	200	added ('OK')	application/x-javascript	etag:%2214287-5e49fe5081b40%22	https://mophy.dexignzone.com/xhtml/vendor/datatables/js/jquery.dataTables.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/datatables/js/jquery.dataTables.min.js	(from https://mophy.dexignzone.com/xhtml/invoices.html)
20:27:19	8410/8410	---M--	200	added ('OK')	image/png	etag:%2220da-5e49fb2c8f280%22	https://mophy.dexignzone.com/xhtml/images/card/card1.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/card/card1.png	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
20:27:19	10669/10669	---M--	200	added ('OK')	image/png	etag:%2229ad-5e49fb2e77700%22	https://mophy.dexignzone.com/xhtml/images/card/card2.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/card/card2.png	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
20:27:19	12261/12261	---M--	200	added ('OK')	image/png	etag:%222fe5-5e49fb2f6b940%22	https://mophy.dexignzone.com/xhtml/images/card/card3.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/card/card3.png	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
20:27:19	14701/14701	---M--	200	added ('OK')	image/png	etag:%22396d-5e49fb3248000%22	https://mophy.dexignzone.com/xhtml/images/card/card4.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/card/card4.png	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
20:27:19	1159/1159	---M--	200	added ('OK')	image/jpeg	etag:%22487-5e49fb24ee080%22	https://mophy.dexignzone.com/xhtml/images/card/1.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/card/1.jpg	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
20:27:20	1416/1416	---M--	200	added ('OK')	image/jpeg	etag:%22588-5e49fb28be980%22	https://mophy.dexignzone.com/xhtml/images/card/2.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/card/2.jpg	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
20:27:20	1065/1065	---M--	200	added ('OK')	image/jpeg	etag:%22429-5e49fb25e22c0%22	https://mophy.dexignzone.com/xhtml/images/card/3.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/card/3.jpg	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
20:27:20	1394/1394	---M--	200	added ('OK')	image/jpeg	etag:%22572-5e49fb28be980%22	https://mophy.dexignzone.com/xhtml/images/card/4.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/card/4.jpg	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
